"candidate_id";"name";"number";"party";"research_status";"policy_summary";"institutional_activity_count";"current_office_status";"research_exhaustive";"next_action";"tse_url"
"210002534004";"Erick Denil";"65444";"PCdoB";"policy_summary_verified";"True";"2";"confirmed_in_preserved_source";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534004"
"210002534029";"Giovani Culau";"65656";"PCdoB";"policy_summary_verified";"True";"1";"confirmed_in_preserved_source";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534029"
"210002534030";"Humberto Matos";"65065";"PCdoB";"policy_summary_verified";"True";"0";"not_confirmed";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534030"
"210002534016";"Nilvo Riboldi";"65653";"PCdoB";"policy_summary_verified";"True";"0";"not_confirmed";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534016"
"210002534025";"Professora Bilina";"65651";"PCdoB";"policy_summary_verified";"True";"0";"not_confirmed";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534025"
"210002534031";"Sandra Picoli";"65123";"PCdoB";"policy_summary_verified";"True";"1";"not_confirmed";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534031"
"210002539778";"Airton Artus";"12012";"PDT";"policy_summary_verified";"True";"0";"not_confirmed";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539778"
"210002539816";"Alexandre Gonçalves";"12001";"PDT";"research_pending";"False";"0";"not_confirmed";"False";"Aprofundar a busca nominal com leitura de fontes individuais; não tratar consulta inicial como pesquisa exaustiva.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539816"
"210002539780";"Amanda Rodrigues";"12700";"PDT";"policy_summary_verified";"True";"1";"not_confirmed";"False";"Revisão editorial independente E; conferir atribuição, período e alcance das fontes.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539780"
"210002539782";"André Duarte";"12470";"PDT";"research_pending";"False";"0";"not_confirmed";"False";"Aprofundar a busca nominal com leitura de fontes individuais; não tratar consulta inicial como pesquisa exaustiva.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539782"
