"candidate_id";"name";"party";"number";"research_status";"policy_summary";"review_completed_in_round";"institutional_activity_count";"current_office_status";"research_exhaustive";"next_action";"tse_url"
"210002534004";"Erick Denil";"PCdoB";"65444";"policy_summary_verified";"True";"False";"2";"confirmed_in_dated_institutional_source";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534004"
"210002534029";"Giovani Culau";"PCdoB";"65656";"policy_summary_verified";"True";"False";"1";"confirmed_in_dated_institutional_source";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534029"
"210002534030";"Humberto Matos";"PCdoB";"65065";"policy_summary_verified";"True";"False";"0";"not_confirmed";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534030"
"210002534016";"Nilvo Riboldi";"PCdoB";"65653";"policy_summary_verified";"True";"False";"0";"not_confirmed";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534016"
"210002534025";"Professora Bilina";"PCdoB";"65651";"policy_summary_verified";"True";"False";"0";"not_confirmed";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534025"
"210002534031";"Sandra Picoli";"PCdoB";"65123";"policy_summary_verified";"True";"False";"1";"not_confirmed";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534031"
"210002539778";"Airton Artus";"PDT";"12012";"policy_summary_verified";"True";"False";"0";"not_confirmed";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539778"
"210002539816";"Alexandre Gonçalves";"PDT";"12001";"research_pending";"False";"False";"0";"not_confirmed";"False";"Aprofundar fontes individuais; tentativas registradas não comprovam inexistência de propostas.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539816"
"210002539780";"Amanda Rodrigues";"PDT";"12700";"policy_summary_verified";"True";"False";"1";"not_confirmed";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539780"
"210002539782";"André Duarte";"PDT";"12470";"research_pending";"False";"False";"0";"not_confirmed";"False";"Aprofundar fontes individuais; tentativas registradas não comprovam inexistência de propostas.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539782"
"210002539820";"Andreia Margarezi";"PDT";"12777";"policy_summary_verified";"True";"False";"0";"not_confirmed";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539820"
"210002539801";"Bruno Berté";"PDT";"12121";"policy_summary_verified";"True";"False";"0";"confirmed_in_dated_institutional_source";"False";"Auditoria editorial independente E; manter explícitos período e atribuição.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539801"
"210002539793";"Carlos Breik";"PDT";"12612";"research_pending";"False";"False";"0";"not_confirmed";"False";"Aprofundar fontes individuais; tentativas registradas não comprovam inexistência de propostas.";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539793"
