"candidate_id";"name";"historical_id";"year";"office";"round";"electoral_unit";"vote_status";"requires_nominal_evidence";"historical_registration";"historical_totalization";"historical_source";"note"
"210002539778";"Airton Artus";"146";"2004";"Vice-Prefeito";"1";"89559";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002539777";"Dr. Thiago";"210002355258";"2024";"Vice-prefeito";"1";"88013";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002539803";"Gilmar Sossella";"210000604709";"2018";"Deputado Estadual";"1";"RS";"source_has_no_matching_record";"True";"Indeferido";"Não eleito";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2018/RS/2022802018/candidato/210000604709";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002539799";"Guto Lopes";"210000000430";"2012";"Vice-prefeito";"1";"89630";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002539799";"Guto Lopes";"210002528038";"2024";"Prefeito";"1";"89630";"source_has_no_matching_record";"True";"Deferido";"Concorrendo";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2024/89630/10626702024/candidato/210002528038";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002539806";"Luciano Orsi";"210000030089";"2012";"Vice-prefeito";"1";"85774";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002539822";"Paulinho da Bonja";"210000000881";"2010";"Deputado Estadual";"1";"RS";"source_has_no_matching_record";"True";"Indeferido";"Concorrendo";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2010/RS/14417/candidato/210000000881";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002539817";"Professora Regina";"210001615207";"2022";"Vice-governador";"1";"RS";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002539784";"Rui Jordão";"210001240582";"2020";"Vice-prefeito";"1";"87912";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002539804";"Thiago de Leon";"210002220301";"2024";"Vice-prefeito";"1";"86835";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002539805";"Tiago Cadó";"210000019112";"2016";"Vice-prefeito";"1";"88633";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002537539";"Alequis Coletivo";"210000001503";"2016";"Vice-prefeito";"1";"88927";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002537539";"Alequis Coletivo";"210000687840";"2020";"Vice-prefeito";"1";"88927";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002537545";"João Pedro Grill";"210000005674";"2012";"Vice-prefeito";"1";"88790";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002537545";"João Pedro Grill";"210001602881";"2022";"Deputado Estadual";"1";"RS";"source_has_no_matching_record";"True";"Renúncia";"Concorrendo";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2022/RS/2040602022/candidato/210001602881";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002537531";"Ladislê Teixeira";"210000763650";"2020";"Vereador";"1";"88692";"source_has_no_matching_record";"True";"Indeferido";"Não eleito";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2020/88692/2030402020/candidato/210000763650";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002537542";"Leandro Liban";"210000028548";"2016";"Vereador";"1";"88390";"source_has_no_matching_record";"True";"Indeferido";"Concorrendo";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2016/88390/2/candidato/210000028548";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002533946";"Adriano Ricoldi";"210002528036";"2024";"Prefeito";"1";"89630";"source_has_no_matching_record";"True";"Deferido";"Concorrendo";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2024/89630/10626702024/candidato/210002528036";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002533945";"Iverá";"12391";"2008";"Vereador";"1";"85898";"source_has_no_matching_record";"True";"Indeferido";"Indeferido com Recurso";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2008/85898/14422/candidato/12391";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002533937";"Professora Dani Kroeff";"210000774512";"2020";"Vice-prefeito";"1";"85898";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002533937";"Professora Dani Kroeff";"210002366855";"2024";"Vice-prefeito";"1";"85898";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534036";"Adão Pretto";"210000660770";"2020";"Vice-prefeito";"1";"89630";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534040";"Ana Affonso";"210000606448";"2018";"Vice-governador";"1";"RS";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534018";"Cleonice Back";"210000606447";"2018";"1º Suplente";"1";"RS";"not_applicable_supplemental_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534020";"Halley";"22";"2004";"Vice-Prefeito";"1";"88153";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534020";"Halley";"210002056016";"2024";"Prefeito";"1";"88153";"source_has_no_matching_record";"True";"Renúncia";"Concorrendo";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2024/88153/2045202024/candidato/210002056016";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002534009";"Helen Cabral";"210000008742";"2016";"Vice-prefeito";"1";"88412";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534009";"Helen Cabral";"210000008742";"2016";"Vice-prefeito";"2";"88412";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534033";"Maria Eunice";"210001982281";"2024";"Vice-prefeito";"1";"85898";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534033";"Maria Eunice";"210001982281";"2024";"Vice-prefeito";"2";"85898";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534012";"Miguel Rossetto";"210000729171";"2020";"Vice-prefeito";"1";"88013";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534012";"Miguel Rossetto";"210000729171";"2020";"Vice-prefeito";"2";"88013";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534028";"Paulo Orelha";"210001112099";"2020";"Vereador";"1";"88633";"source_has_no_matching_record";"True";"Indeferido";"Não eleito";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2020/88633/2030402020/candidato/210001112099";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002534005";"Picolotto";"210000000524";"2010";"Deputado Estadual";"1";"RS";"source_has_no_matching_record";"True";"Renúncia";"Concorrendo";"https://divulgacandcontas.tse.jus.br/divulga/rest/v1/candidatura/buscar/2010/RS/14417/candidato/210000000524";"Total nominal não confirmado. Situação do cadastro histórico não é zero e não altera a candidatura de 2026."
"210002534032";"Professor Corazza";"210000000478";"2010";"2º Suplente Senador";"1";"RS";"not_applicable_supplemental_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534006";"Valdir Oliveira";"210000004234";"2012";"Vice-prefeito";"1";"88412";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
"210002534027";"Cláudia Azevedo";"210002528188";"2024";"Vice-prefeito";"1";"85618";"not_applicable_vice_ticket";"False";"";"";"";"Cargo de vice/suplência: não atribuir voto nominal próprio."
